T,K,iv,bs_price
0.25,3500,0.135825,3.09086e-06
0.25,3554.59,0.135825,1.09745e-05
0.25,3610.03,0.135825,3.71081e-05
0.25,3666.33,0.135825,0.000119516
0.25,3723.51,0.135825,0.000366742
0.25,3781.58,0.135825,0.00107249
0.25,3840.56,0.135825,0.00298989
0.25,3900.46,0.135825,0.00794856
0.25,3961.29,0.135825,0.0201584
0.25,4023.08,0.135825,0.0487905
0.25,4085.82,0.135825,0.112753
0.25,4149.55,0.135825,0.248919
0.25,4214.26,0.135825,0.52526
0.25,4279.99,0.135825,1.06013
0.25,4346.74,0.135825,2.04798
0.25,4414.54,0.135825,3.78991
0.25,4483.39,0.135825,6.72456
0.25,4553.31,0.135825,11.4518
0.25,4624.33,0.135825,18.7394
0.25,4696.45,0.135825,29.5028
0.25,4769.7,0.135825,44.7516
0.25,4844.09,0.135825,65.5049
0.25,4919.64,0.152488,108.551
0.25,4996.36,0.216969,207.462
0.25,5074.29,0.22,190.737
0.25,5153.43,0.22,158.731
0.25,5233.8,0.22,130.501
0.25,5315.43,0.22,105.948
0.25,5398.33,0.22,84.9026
0.25,5482.53,0.22,67.1299
0.25,5568.04,0.22,52.3494
0.25,5654.88,0.22,40.2486
0.25,5743.07,0.22,30.4991
0.25,5832.64,0.22,22.7709
0.25,5923.61,0.22,16.7456
0.25,6016,0.22,12.1263
0.25,6109.83,0.22,8.6447
0.25,6205.12,0.22,6.06537
0.25,6301.89,0.22,4.18749
0.25,6400.18,0.22,2.84411
0.25,6500,0.22,1.89998
0.5,3500,0.24,4.16786
0.5,3554.59,0.24,5.39757
0.5,3610.03,0.24,6.94242
0.5,3666.33,0.24,8.86901
0.5,3723.51,0.24,11.2543
0.5,3781.58,0.24,14.1863
0.5,3840.56,0.24,17.7645
0.5,3900.46,0.24,22.1005
0.5,3961.29,0.24,27.3181
0.5,4023.08,0.24,33.5528
0.5,4085.82,0.24,40.9516
0.5,4149.55,0.24,49.6724
0.5,4214.26,0.24,59.8823
0.5,4279.99,0.24,71.7562
0.5,4346.74,0.24,85.475
0.5,4414.54,0.24,101.223
0.5,4483.39,0.24,119.187
0.5,4553.31,0.24,139.549
0.5,4624.33,0.24,162.49
0.5,4696.45,0.24,188.181
0.5,4769.7,0.24,216.783
0.5,4844.09,0.24,248.443
0.5,4919.64,0.24,283.292
0.5,4996.36,0.24,321.445
0.5,5074.29,0.229876,300.052
0.5,5153.43,0.219252,251.883
0.5,5233.8,0.208628,206.545
0.5,5315.43,0.2,167.243
0.5,5398.33,0.2,142.567
0.5,5482.53,0.2,120.584
0.5,5568.04,0.2,101.175
0.5,5654.88,0.2,84.1968
0.5,5743.07,0.2,69.4823
0.5,5832.64,0.2,56.8507
0.5,5923.61,0.2,46.1117
0.5,6016,0.2,37.0708
0.5,6109.83,0.2,29.5349
0.5,6205.12,0.2,23.3164
0.5,6301.89,0.2,18.2369
0.5,6400.18,0.2,14.1302
0.5,6500,0.2,10.8444
