underlying,S0,r,q,K,T,type,price_bid,price_ask,mid,iv_bid,iv_ask,iv_mid
SPX,5000,0.02,0.01,5000,0.25,C,95,105,,,0.18,0.22,
SPX,5000,0.02,0.01,5200,0.25,P,40,60,,,,,
SPX,5000,0.02,0.01,0,0.25,C,10,12,,,,,           # K=0 -> ignorée
SPX,5000,0.02,0.01,4800,0.00,C,210,220,,,,,       # T=0 -> ignorée
SPX,5000,0.02,0.01,5100,0.50,C,15,9,,,,,          # ask<bid -> ignorée
SPX,5000,0.02,0.01,5000,1.00,C,10,18,,,,,         # spread OK -> valide
SPX,5000,0.02,0.01,5000,0.50,C,,,,,0.20,0.24,     # IV bid/ask -> iv_mid calculé
SPX,5000,0.02,0.01,4900,0.25,P,,,85,,,,           # mid (prix) fourni -> valide
SPX,5000,0.02,0.01,4800,0.75,C,,,,,,,0.19         # iv_mid fourni -> valide
SPX,5000,0.02,0.01,5300,0.50,P,,,,,0.25,0.20,     # iv_ask<iv_bid -> ignorée
