case,greek,estimate,std_error,analytic,zscore,pass
ATM_1Y,delta,0.579384,0.000167208,0.579259709439,0.743,YES
ATM_1Y,vega,39.223909,0.100844930,39.104269397546,1.186,YES
ATM_1Y,rho,49.009933,0.000000079,49.009933665338,-8.422,NO
ATM_1Y,theta,-4.902655,0.010084277,-4.890625613061,-1.193,YES
OTM_3M,delta,0.197146,0.000592633,0.196801427206,0.581,YES
OTM_3M,vega,13.886616,0.047748995,13.862580134280,0.503,YES
OTM_3M,rho,4.658202,0.014495750,4.659050720280,-0.059,YES
OTM_3M,theta,-5.931930,0.020223778,-5.917756111334,-0.701,YES
ITM_2Y_PUT,delta,-0.640575,0.000693277,-0.641234805345,0.952,YES
ITM_2Y_PUT,vega,52.876149,0.045797823,52.845344098562,0.673,YES
ITM_2Y_PUT,rho,-170.640452,0.128764684,-170.730306529500,0.698,YES
ITM_2Y_PUT,theta,-0.938074,0.003503814,-0.934964139633,-0.888,YES
